suite,m,n,k,dtype,eager_ms,compiled_ms,decompose_k_ms,decompose_k_speedup_vs_eager,decompose_k_speedup_vs_compiled,split_k,block_m,block_n,block_k
matmul-fp32,16,16,8192,float32,0.01548799965530634,0.015584000386297703,0.010591999627649784,1.4622356684072986,1.4712991818482128,32,16,16,128
matmul-fp32,16,16,12288,float32,0.016704000532627106,0.016672000288963318,0.011231999844312668,1.4871795552138642,1.4843305306316577,48,16,16,128
matmul-fp32,16,16,16384,float32,0.017472000792622566,0.017503999173641205,0.012000000104308128,1.456000053395827,1.458666585124202,64,16,16,128
matmul-fp32,16,16,20480,float32,0.018783999606966972,0.018751999363303185,0.012543999589979649,1.497448997205958,1.494897957289682,40,16,16,128
matmul-fp32,16,16,24576,float32,0.0197759997099638,0.01974399946630001,0.013088000006973743,1.5110024220221925,1.508557415631091,48,16,16,128
matmul-fp32,16,16,28672,float32,0.020735999569296837,0.020735999569296837,0.013472000136971474,1.5391923514304775,1.5391923514304775,56,16,16,128
matmul-fp32,16,16,32768,float32,0.02131200022995472,0.021344000473618507,0.013791999779641628,1.5452436608513702,1.5475638641703278,64,16,16,128
matmul-fp32,32,32,8192,float32,0.016224000602960587,0.016256000846624374,0.01142400037497282,1.4201680733925208,1.4229692150778708,32,16,16,128
matmul-fp32,32,32,12288,float32,0.017535999417304993,0.017535999417304993,0.012640000320971012,1.3873416908234593,1.3873416908234593,24,16,16,128
matmul-fp32,32,32,16384,float32,0.018432000651955605,0.018400000408291817,0.013279999606311321,1.387951897468114,1.3855422404942854,32,16,16,128
matmul-fp32,32,32,20480,float32,0.019952000118792057,0.019936000928282738,0.015200000256299973,1.3126315646292515,1.3115789863240184,20,16,16,128
matmul-fp32,32,32,24576,float32,0.021088000386953354,0.021088000386953354,0.015584000386297703,1.353182742827385,1.353182742827385,24,16,16,128
matmul-fp32,32,32,28672,float32,0.02223999984562397,0.02223999984562397,0.01587199978530407,1.4012096866467987,1.4012096866467987,28,16,16,128
matmul-fp32,32,32,32768,float32,0.022431999444961548,0.022495999932289124,0.0161920003592968,1.38537542905142,1.389328028230485,32,16,16,128
matmul-fp32,48,48,8192,float32,0.01679999940097332,0.016831999644637108,0.01414399966597557,1.1877827911285201,1.190045251848225,32,16,16,128
matmul-fp32,48,48,12288,float32,0.01852799952030182,0.01852799952030182,0.015231999568641186,1.2163865575762134,1.2163865575762134,12,16,16,128
matmul-fp32,48,48,16384,float32,0.0191040001809597,0.019168000668287277,0.01759999990463257,1.0854545616179951,1.0890909529631299,64,16,16,128
matmul-fp32,48,48,20480,float32,0.021215999498963356,0.021215999498963356,0.01836800016462803,1.1550522271782113,1.1550522271782113,40,16,16,128
matmul-fp32,48,48,24576,float32,0.02236800082027912,0.02239999920129776,0.020416000857949257,1.0956112794034207,1.0971785981570434,24,16,16,128
matmul-fp32,48,48,28672,float32,0.023711999878287315,0.02377600036561489,0.02051199972629547,1.1560062497411985,1.1591263983459943,28,16,16,128
matmul-fp32,48,48,32768,float32,0.02377600036561489,0.023744000121951103,0.02486399933695793,0.956241996446411,0.9549549853252265,32,16,16,128
matmul-fp32,64,64,8192,float32,0.017632000148296356,0.017632000148296356,0.014944000169634819,1.17987151687293,1.17987151687293,8,16,16,128
matmul-fp32,64,64,12288,float32,0.019408000633120537,0.019360000267624855,0.016863999888300896,1.1508539351085088,1.1480076136062782,16,16,32,128
matmul-fp32,64,64,16384,float32,0.019872000440955162,0.01990400068461895,0.019200000911951065,1.0349999738065538,1.0366666530848798,16,16,32,128
matmul-fp32,64,64,20480,float32,0.022272000089287758,0.022304000332951546,0.02099199965596199,1.0609756313978518,1.062500033274197,16,16,32,128
matmul-fp32,64,64,24576,float32,0.02377600036561489,0.02377600036561489,0.024064000695943832,0.9880319015126405,0.9880319015126405,48,16,32,128
matmul-fp32,64,64,28672,float32,0.025280000641942024,0.025280000641942024,0.02489599958062172,1.015424207414399,1.015424207414399,16,16,32,128
matmul-fp32,64,64,32768,float32,0.026464000344276428,0.026464000344276428,0.026496000587940216,0.9987922613619524,0.9987922613619524,16,16,32,256
