suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_relu_ms,decompose_k_unfused_ms,decompose_k_fused_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_fused_speedup_vs_eager,decompose_k_fused_speedup_vs_compiled,decompose_k_fused_vs_unfused_speedup,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k
epilogue-bf16,16,16,8192,bfloat16,0.015647999942302704,0.012032000347971916,0.009247999638319016,0.012191999703645706,0.009184000082314014,1.6920415824266835,1.3010381507928932,1.7038327310598205,1.3101045557634965,1.3275260882373372,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_12,128,16,16,64
epilogue-bf16,16,16,12288,bfloat16,0.016063999384641647,0.012703999876976013,0.009344000369310379,0.012959999963641167,0.009247999638319016,1.7191779483873488,1.3595889741936744,1.7370242228471322,1.373702462566833,1.4013841339203243,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_31,96,16,16,64
epilogue-bf16,16,16,16384,bfloat16,0.016224000602960587,0.013919999822974205,0.009600000455975533,0.013376000337302685,0.009600000455975533,1.6899999825377026,1.4499999126885128,1.6899999825377026,1.4499999126885128,1.393333302289249,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_48,256,16,16,64
epilogue-bf16,16,16,20480,bfloat16,0.016543999314308167,0.013024000450968742,0.009855999611318111,0.013439999893307686,0.009568000212311745,1.67857142519668,1.3214286692962798,1.729096879933172,1.3612040303061392,1.4046822319269596,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_67,160,16,16,128
epilogue-bf16,16,16,24576,bfloat16,0.01659199967980385,0.013279999606311321,0.010304000228643417,0.012575999833643436,0.00979200005531311,1.6102483803989864,1.288819808970415,1.694444402173086,1.3562091024607004,1.2843137012463288,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_85,192,16,16,128
epilogue-bf16,16,16,28672,bfloat16,0.015904000028967857,0.013279999606311321,0.01033599954098463,0.01375999953597784,0.009952000342309475,1.5386997615377995,1.2848297403316484,1.5980706874932797,1.3344050592375227,1.382636561765298,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_104,224,16,16,128
epilogue-bf16,16,16,32768,bfloat16,0.015904000028967857,0.014720000326633453,0.010751999914646149,0.014015999622642994,0.010432000271975994,1.4791666811030906,1.3690476602945447,1.5245398403306767,1.4110429393082484,1.343558211007229,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_121,256,16,16,64
epilogue-bf16,32,32,8192,bfloat16,0.015039999969303608,0.012799999676644802,0.009696000255644321,0.01228800043463707,0.009631999768316746,1.551155071447981,1.320131945045438,1.5614618283916284,1.3289036528788958,1.2757475841161152,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_137,32,16,16,64
epilogue-bf16,32,32,12288,bfloat16,0.015072000212967396,0.014399999752640724,0.010400000028312206,0.012480000033974648,0.00979200005531311,1.4492307857631226,1.3846153570614623,1.5392156993289,1.470588201725686,1.274509800191743,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_154,96,16,16,64
epilogue-bf16,32,32,16384,bfloat16,0.017472000792622566,0.014495999552309513,0.010688000358641148,0.01398400031030178,0.010495999827980995,1.6347305582280054,1.3562873377515967,1.6646342491397954,1.3810975409569872,1.3323171245698977,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_171,128,16,16,64
