suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_relu_ms,decompose_k_unfused_ms,decompose_k_fused_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_fused_speedup_vs_eager,decompose_k_fused_speedup_vs_compiled,decompose_k_fused_vs_unfused_speedup,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k,tlx_unfused_ms,tlx_fused_ms,tlx_fused_speedup_vs_eager,tlx_fused_speedup_vs_compiled,tlx_fused_speedup_vs_decompose_k_fused,tlx_fused_vs_unfused_speedup,tlx_split_k,tlx_block_m,tlx_block_n,tlx_block_k
epilogue-bf16,16,16,8192,bfloat16,0.015552000142633915,0.013183999806642532,0.009184000082314014,0.011935999616980553,0.009200000204145908,1.6933797912941013,1.4355400357662749,1.6904347606020191,1.4330434254448456,1.297391233926461,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_12,128,16,16,64,0.01142400037497282,0.00863999966531992,1.800000086233575,1.5259259626550412,1.0648148796896109,1.322222316839617,64,64,32,128
epilogue-bf16,16,16,12288,bfloat16,0.015968000516295433,0.012575999833643436,0.009312000125646591,0.013120000250637531,0.009184000082314014,1.7147766646090625,1.3505154278303024,1.7386759988216498,1.3693379487072879,1.4285714430581533,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_32,96,16,16,128,0.011487999930977821,0.008767999708652496,1.8211680026104224,1.434306598029777,1.0474452996674941,1.3102190137667495,96,64,32,128
epilogue-bf16,16,16,16384,bfloat16,0.014816000126302242,0.013248000293970108,0.009983999654650688,0.01235199999064207,0.009664000011980534,1.4839744229559082,1.3269231522658358,1.5331125939502002,1.3708609558719436,1.2781456928113828,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_48,256,16,16,64,0.011744000017642975,0.00902399979531765,1.6418440228677678,1.4680851722585584,1.0709220114338838,1.3014184711902002,64,64,32,256
epilogue-bf16,16,16,20480,bfloat16,0.015456000342965126,0.014336000196635723,0.009952000342309475,0.012384000234305859,0.009631999768316746,1.5530546434224082,1.4405144396637843,1.604651236995011,1.4883721492386448,1.2857143409659824,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_66,160,16,16,128,0.012095999903976917,0.00940799992531538,1.6428571923534536,1.5238095568070642,1.0238095073107536,1.2857142857142858,40,64,32,512
epilogue-bf16,16,16,24576,bfloat16,0.016863999888300896,0.014879999682307243,0.010015999898314476,0.012575999833643436,0.009824000298976898,1.6837060762289766,1.4856229865588653,1.7166123142379348,1.5146579020215312,1.2801302372673116,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_86,192,16,16,64,0.0122079998254776,0.009568000212311745,1.7625417552354286,1.5551838787754433,1.0267558613069157,1.2759196858888864,96,64,32,256
epilogue-bf16,16,16,28672,bfloat16,0.015776000916957855,0.013856000266969204,0.010975999757647514,0.012864000163972378,0.010111999697983265,1.4373178995349327,1.2623907227507958,1.560126719555205,1.370253231883763,1.2721519529453675,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_104,224,16,16,128,0.012671999633312225,0.009855999611318111,1.6006495068081705,1.405844238372098,1.0259740357914764,1.28571429921328,56,64,32,512
epilogue-bf16,16,16,32768,bfloat16,0.01587199978530407,0.015904000028967857,0.010975999757647514,0.014399999752640724,0.010367999784648418,1.446064152310615,1.4489796264697223,1.5308642086205728,1.5339506519392898,1.3888888938792576,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_121,256,16,16,64,0.012512000277638435,0.00979200005531311,1.6209150015978573,1.6241830003195714,1.0588235014380716,1.277777798913457,128,64,32,256
epilogue-bf16,32,32,8192,bfloat16,0.014879999682307243,0.014783999882638454,0.009824000298976898,0.01235199999064207,0.009759999811649323,1.5146579020215312,1.504885935740261,1.524590160805823,1.5147541155679731,1.2655737939563272,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_137,128,16,16,64,0.01190400030463934,0.009151999838650227,1.6258741198253566,1.6153846310402533,1.0664335646545167,1.3006993569172733,64,64,32,256
epilogue-bf16,32,32,12288,bfloat16,0.01539199985563755,0.014431999996304512,0.01071999967098236,0.013439999893307686,0.010048000141978264,1.435820926123877,1.346268697691293,1.5318470977456766,1.4363057118212899,1.3375795883161283,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_154,48,16,16,64,0.012128000147640705,0.009375999681651592,1.6416382655983872,1.5392491986264978,1.0716724064786123,1.2935154180278667,48,64,32,256
epilogue-bf16,32,32,16384,bfloat16,0.015456000342965126,0.013248000293970108,0.010432000271975994,0.012864000163972378,0.01027199998497963,1.4815950862736609,1.2699386453774235,1.5046729327848394,1.2897196566727196,1.2523364663924197,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_171,64,16,16,64,0.012512000277638435,0.0098879998549819,1.563106853726124,1.339805874622392,1.0388349651728865,1.265372214921148,64,64,32,256
epilogue-bf16,32,32,20480,bfloat16,0.01603199914097786,0.01369599997997284,0.01104000024497509,0.013151999562978745,0.01056000031530857,1.4521738030100952,1.240579680802692,1.5181816915039925,1.296969656347272,1.2454544668822232,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_191,80,16,16,64,0.012768000364303589,0.010080000385642052,1.5904760444070847,1.3587301047608507,1.047619038819704,1.2666666543475855,40,64,32,512
epilogue-bf16,32,32,24576,bfloat16,0.017376000061631203,0.014112000353634357,0.011231999844312668,0.01408000010997057,0.010463999584317207,1.5470085739388213,1.256410305309965,1.6605505305708606,1.348623940580478,1.3455658131975463,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_210,96,16,16,64,0.012671999633312225,0.010111999697983265,1.7183544877969754,1.395569696906622,1.034810116381248,1.2531645581278574,48,64,32,512
epilogue-bf16,32,32,28672,bfloat16,0.01587199978530407,0.01583999954164028,0.01158399973064661,0.014479999896138906,0.011168000288307667,1.3701657591818768,1.3674033071439051,1.421203382482113,1.418338031225157,1.2965615618132402,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_229,112,16,16,64,0.013439999893307686,0.010751999914646149,1.476190467941091,1.4732142547790916,1.0386905112503628,1.25,56,64,32,512
epilogue-bf16,32,32,32768,bfloat16,0.01788800023496151,0.015904000028967857,0.011455999687314034,0.01360000018030405,0.011103999800980091,1.56145257709548,1.3882681968453072,1.6109510586791105,1.4322766853403668,1.22478389986135,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_246,128,16,16,64,0.013472000136971474,0.01104000024497509,1.620289840401346,1.440579680802692,1.0057970611037015,1.220289840401346,64,64,32,512
epilogue-bf16,48,48,8192,bfloat16,0.01500799972563982,0.014112000353634357,0.010400000028312206,0.012768000364303589,0.010015999898314476,1.4430768927676085,1.3569231072323913,1.498402543730598,1.408945736511955,1.2747604327005064,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_259,32,16,16,64,0.01228800043463707,0.009631999768316746,1.558139543878183,1.4651163510254652,1.0398671240899373,1.2757475841161152,32,64,32,256
epilogue-bf16,48,48,12288,bfloat16,0.017311999574303627,0.016383999958634377,0.010975999757647514,0.013183999806642532,0.010463999584317207,1.5772594712606032,1.4927113994530516,1.6544342758049968,1.5657492937203188,1.259938869493257,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_278,48,16,16,64,0.01283199992030859,0.010080000385642052,1.7174602095217013,1.6253967591084362,1.038095157141276,1.2730158164067618,48,64,32,256
epilogue-bf16,48,48,16384,bfloat16,0.01788800023496151,0.01532800029963255,0.01196799986064434,0.014783999882638454,0.011103999800980091,1.494652443453358,1.280748703050813,1.6109510586791105,1.3804035099387906,1.3314121170403435,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_294,32,16,16,64,0.01360000018030405,0.01065600011497736,1.6786786826155655,1.4384384510364765,1.0420420121217016,1.2762762794257858,32,64,32,512
