suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_ms,decompose_k_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_speedup_vs_eager,decompose_k_speedup_vs_compiled,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k,tlx_ms,tlx_speedup_vs_eager,tlx_speedup_vs_compiled,tlx_speedup_vs_decompose_k,tlx_split_k,tlx_block_m,tlx_block_n,tlx_block_k
matmul-bf16,16,16,8192,bfloat16,0.011872000060975552,0.009920000098645687,0.009312000125646591,0.009216000325977802,1.274914078692756,1.065292092439365,1.2881944054961774,1.0763888615198363,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_11,64,16,16,128,0.008704000152647495,1.3639705713199517,1.13970587369858,1.0588235482940074,64,64,32,128
matmul-bf16,16,16,12288,bfloat16,0.0122079998254776,0.010432000271975994,0.009472000412642956,0.009312000125646591,1.288851276778104,1.1013513320852117,1.310996527142972,1.1202749281805486,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_31,96,16,16,64,0.008799999952316284,1.387272714957718,1.1854545827844174,1.0581818381937083,96,64,32,128
matmul-bf16,16,16,16384,bfloat16,0.012431999668478966,0.010591999627649784,0.009759999811649323,0.009631999768316746,1.2737704824174692,1.0852458844320267,1.2906976710456812,1.0996677618796085,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_47,256,16,16,64,0.009216000325977802,1.348958249647192,1.1493054745010538,1.0451388267821926,64,64,32,256
matmul-bf16,16,16,20480,bfloat16,0.012896000407636166,0.010816000401973724,0.01017600018531084,0.009824000298976898,1.2672956144646768,1.0628931019072436,1.3127035846058754,1.1009772061082017,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_67,160,16,16,64,0.00940799992531538,1.370748353529973,1.149659915798856,1.044217727143272,80,64,32,256
matmul-bf16,16,16,24576,bfloat16,0.013055999763309956,0.011008000001311302,0.009983999654650688,0.00979200005531311,1.3076923292188103,1.1025641408334403,1.3333333016298146,1.1241830003195714,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_86,192,16,16,128,0.009600000455975533,1.3599999107482574,1.146666612339519,1.019999957314384,48,64,32,512
matmul-bf16,16,16,28672,bfloat16,0.013183999806642532,0.012128000147640705,0.01065600011497736,0.010111999697983265,1.237237205742142,1.138138139712893,1.3037974881735752,1.199367139029831,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_104,224,16,16,128,0.009568000212311745,1.377926370620044,1.267558515731934,1.0568561322742784,112,64,32,256
matmul-bf16,16,16,32768,bfloat16,0.013248000293970108,0.01119999960064888,0.010944000445306301,0.01033599954098463,1.210526293395022,1.0233917347337438,1.2817338314924183,1.0835913407540596,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_121,256,16,16,64,0.01017600018531084,1.3018867976332913,1.1006288715301118,1.0157232068357025,64,64,32,512
matmul-bf16,32,32,8192,bfloat16,0.012319999746978283,0.01056000031530857,0.009759999811649323,0.009696000255644321,1.2622950804029116,1.081967266301008,1.2706270031094993,1.0891089146951383,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_137,32,16,16,128,0.009088000282645226,1.3556337328141375,1.1619718295425596,1.0669014033989583,32,64,32,256
matmul-bf16,32,32,12288,bfloat16,0.012768000364303589,0.010975999757647514,0.010304000228643417,0.0098879998549819,1.2391304426421361,1.0652173441471837,1.2912621917030724,1.1100323542296013,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_155,96,16,16,64,0.009472000412642956,1.3479729527103088,1.1587837077157497,1.0439188581309264,48,64,32,256
matmul-bf16,32,32,16384,bfloat16,0.013024000450968742,0.011136000044643879,0.01065600011497736,0.010400000028312206,1.2222222513551853,1.0450450379586487,1.2523077322608795,1.0707692321469269,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_171,64,16,16,64,0.00979200005531311,1.330065398018657,1.1372549000958714,1.0620915001597857,32,64,32,512
matmul-bf16,32,32,20480,bfloat16,0.013632000423967838,0.011552000418305397,0.011136000044643879,0.01071999967098236,1.2241379641987762,1.0373563552436948,1.2716418696231757,1.0776120123935409,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_190,80,16,16,64,0.010143999941647053,1.3438486299670116,1.138801309617292,1.056782308029251,80,64,32,256
matmul-bf16,32,32,24576,bfloat16,0.01369599997997284,0.011615999974310398,0.011264000087976456,0.010784000158309937,1.2159090796343632,1.031249989664833,1.270029653089255,1.0771513171167137,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_210,96,16,16,64,0.010432000271975994,1.3128833994344393,1.1134969010224283,1.033742319512734,48,64,32,512
matmul-bf16,32,32,28672,bfloat16,0.013856000266969204,0.012000000104308128,0.011615999974310398,0.011103999800980091,1.1928374911856685,1.0330578625040439,1.2478386631226532,1.0806916714145611,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_228,112,16,16,64,0.01071999967098236,1.2925373780071643,1.1194030291615178,1.0358209087484553,56,64,32,512
matmul-bf16,32,32,32768,bfloat16,0.014336000196635723,0.012095999903976917,0.01196799986064434,0.011615999974310398,1.1978609929448891,1.0106951909110138,1.2341597992717628,1.0413223080860945,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_245,128,16,16,64,0.010944000445306301,1.3099414851343683,1.105263104148053,1.061403463236545,64,64,32,512
matmul-bf16,48,48,8192,bfloat16,0.013024000450968742,0.01235199999064207,0.010367999784648418,0.010015999898314476,1.2561729090940938,1.1913580485342314,1.3003195470439712,1.2332268486465046,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_259,32,16,16,64,0.009600000455975533,1.3566666492043693,1.286666604578498,1.04333327318542,32,64,32,256
matmul-bf16,48,48,12288,bfloat16,0.01321600005030632,0.011487999930977821,0.01119999960064888,0.010432000271975994,1.1800000465661304,1.02571431612482,1.2668711374374793,1.1012269585382022,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_278,48,16,16,64,0.009920000098645687,1.3322580563391944,1.158064497655217,1.0516129201853746,48,64,32,256
matmul-bf16,48,48,16384,bfloat16,0.013024000450968742,0.011615999974310398,0.011744000017642975,0.011231999844312668,1.108991862346971,0.9891008137653029,1.1595442157670128,1.0341880462357884,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_294,32,16,16,64,0.010528000071644783,1.2370821012859292,1.103343455097036,1.0668692788637015,64,64,32,256
