suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_ms,decompose_k_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_speedup_vs_eager,decompose_k_speedup_vs_compiled,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k,tlx_ms,tlx_speedup_vs_eager,tlx_speedup_vs_compiled,tlx_speedup_vs_decompose_k,tlx_split_k,tlx_block_m,tlx_block_n,tlx_block_k
matmul-fp16,16,16,8192,float16,0.011487999930977821,0.009824000298976898,0.008895999751985073,0.008895999751985073,1.2913669347185361,1.1043166111582623,1.2913669347185361,1.1043166111582623,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_13,64,16,16,128,0.008415999822318554,1.3650190320242843,1.1673004403974012,1.05703421337933,64,64,32,128
matmul-fp16,16,16,12288,float16,0.011872000060975552,0.010015999898314476,0.009151999838650227,0.00902399979531765,1.2972028267350233,1.0944056025892233,1.315602873476977,1.1099290919212512,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_32,96,16,16,64,0.008671999908983707,1.3690037114364846,1.1549815502117868,1.040590393222824,48,64,32,256
matmul-fp16,16,16,16384,float16,0.012095999903976917,0.01017600018531084,0.009312000125646591,0.009312000125646591,1.2989690443262334,1.0927835103099568,1.2989690443262334,1.0927835103099568,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_48,128,16,16,64,0.00886400043964386,1.3646208601116578,1.14801440439907,1.0505414783148106,128,64,32,128
matmul-fp16,16,16,20480,float16,0.012512000277638435,0.010463999584317207,0.009631999768316746,0.009375999681651592,1.2990033823292946,1.0863787205162962,1.3344710646827191,1.1160409491901735,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_67,160,16,16,64,0.009279999881982803,1.3482759091334244,1.1275861764430783,1.0103448061303506,80,64,32,256
matmul-fp16,16,16,24576,float16,0.012736000120639801,0.010623999871313572,0.009696000255644321,0.00955200009047985,1.3135313309450263,1.09570952879555,1.3333333333333333,1.1122277816875386,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_86,192,16,16,128,0.009328000247478485,1.3653516062119055,1.138936491150439,1.024013704658929,48,64,32,512
matmul-fp16,16,16,28672,float16,0.012799999676644802,0.01065600011497736,0.009920000098645687,0.009727999567985535,1.290322535217747,1.0741935492956451,1.3157894988779706,1.0953947973071296,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_105,112,16,16,64,0.009312000125646591,1.3745703934637798,1.1443298938140258,1.0446734790298404,112,64,32,256
matmul-fp16,16,16,32768,float16,0.012927999719977379,0.011071999557316303,0.010304000228643417,0.010015999898314476,1.2546583300764762,1.0745340946847006,1.2907348094275584,1.1054312769291794,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_122,256,16,16,64,0.009983999654650688,1.2948718116146303,1.1089743529947749,1.0032051527214227,64,64,32,512
matmul-fp16,32,32,8192,float16,0.011935999616980553,0.010080000385642052,0.009727999567985535,0.00940799992531538,1.2269736993267824,1.0361842961851004,1.268707452352624,1.0714286209248822,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_135,64,16,16,128,0.008927999995648861,1.336917520474649,1.1290323018094341,1.053763433008563,32,64,32,256
matmul-fp16,32,32,12288,float16,0.012384000234305859,0.010400000028312206,0.0098879998549819,0.009631999768316746,1.2524272265301857,1.0517799535638488,1.2857143409659824,1.0797342481798744,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_155,48,16,16,64,0.009119999594986439,1.3578948228368066,1.1403509309396709,1.0561403723758682,48,64,32,256
matmul-fp16,32,32,16384,float16,0.012608000077307224,0.011008000001311302,0.01027199998497963,0.010015999898314476,1.2274143395388866,1.0716510920373734,1.2587859629899696,1.0990415448350557,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_171,64,16,16,64,0.009696000255644321,1.3003300066919599,1.1353135015547495,1.0330032626065448,64,64,32,512
