N,Triton,Torch
1024.000000,106.088225,400.219859
1536.000000,260.580523,477.783730
2048.000000,294.213252,541.899756
2560.000000,298.841778,590.148604
3072.000000,474.468764,630.659208
3584.000000,453.985151,652.331319
4096.000000,614.100160,656.591086
4608.000000,625.641992,612.645029
5120.000000,673.372708,629.246271
5632.000000,716.062549,646.543502
6144.000000,759.104267,663.655728
6656.000000,786.129610,678.183503
7168.000000,825.464713,692.325211
7680.000000,858.175476,700.794853
8192.000000,889.754766,715.751546
8704.000000,642.787832,679.440170
9216.000000,667.693785,693.197012
9728.000000,691.864971,701.610950
10240.000000,708.401589,712.154289
10752.000000,732.928224,720.552883
11264.000000,749.859304,723.246577
11776.000000,776.572903,732.512692
12288.000000,797.093141,739.431887
12800.000000,812.396210,717.809409
13312.000000,836.698247,725.002013
13824.000000,856.058094,728.702587
14336.000000,866.182697,736.433414
14848.000000,879.779665,739.583242
15360.000000,905.297593,734.983147
15872.000000,916.845908,728.438854
16384.000000,911.161471,750.188522
16896.000000,670.782898,731.131861
17408.000000,677.889845,729.130893
17920.000000,678.577038,739.445494
18432.000000,669.327558,742.150364
18944.000000,698.849186,745.987397
19456.000000,714.698787,746.177696
19968.000000,722.057796,751.128938
20480.000000,723.804781,751.667406
20992.000000,741.183652,755.511327
21504.000000,762.152034,742.016992
22016.000000,773.657671,732.721799
22528.000000,779.979447,745.979567
23040.000000,781.741557,751.559618
23552.000000,783.230975,749.029364
24064.000000,796.532690,752.712059
24576.000000,807.580532,760.480609
25088.000000,810.362484,755.813840
25600.000000,804.962236,746.381192
26112.000000,814.856103,749.339715
26624.000000,818.560527,744.584914
27136.000000,828.135689,749.750786
27648.000000,833.771736,751.847001
28160.000000,840.401059,750.073850
28672.000000,844.968788,751.205839
29184.000000,853.060507,757.257641
29696.000000,864.276497,743.598149
30208.000000,869.441533,746.074461
30720.000000,880.071615,754.660751
31232.000000,885.082394,752.472055
31744.000000,883.503397,736.960557
32256.000000,889.437320,759.697854
32768.000000,895.166758,761.856237
33280.000000,648.821867,757.843774
33792.000000,656.454079,741.710204
34304.000000,653.482435,751.482455
34816.000000,656.180234,750.022803
35328.000000,659.229394,742.861546
35840.000000,662.864594,746.196045
36352.000000,665.744683,744.846506
36864.000000,669.660017,756.093715
37376.000000,668.945091,754.400961
37888.000000,676.359106,755.487657
38400.000000,679.270301,748.014004
38912.000000,678.516618,756.103309
39424.000000,682.551267,756.307380
39936.000000,681.199729,759.470764
40448.000000,685.616077,753.808299
40960.000000,686.364377,754.235554
41472.000000,684.691850,755.055249
41984.000000,685.409330,764.608055
42496.000000,684.858455,753.000588
43008.000000,682.984238,747.609689
43520.000000,684.291403,754.844020
44032.000000,686.617025,750.179140
44544.000000,688.311976,755.283087
45056.000000,688.411589,753.952100
45568.000000,689.322731,753.044201
46080.000000,688.543988,759.984519
46592.000000,690.092097,752.859421
47104.000000,689.892075,751.339517
47616.000000,691.986910,740.924893
48128.000000,691.983570,753.771294
48640.000000,692.557675,757.388177
49152.000000,693.540867,750.367491
49664.000000,687.400306,759.814974
50176.000000,682.902604,754.470876
50688.000000,681.045366,750.716089
51200.000000,682.880086,755.284069
51712.000000,683.212773,753.180179
52224.000000,678.268146,754.477618
52736.000000,678.489590,746.147279
53248.000000,686.733446,760.017766
53760.000000,684.329963,764.438063
54272.000000,682.080171,754.494153
54784.000000,670.493084,759.282305
55296.000000,670.619682,755.861631
55808.000000,676.652863,758.144173
56320.000000,682.053090,757.502262
56832.000000,687.294417,760.811203
57344.000000,682.365234,750.514522
57856.000000,682.069344,762.703845
58368.000000,678.874978,759.046429
58880.000000,676.447546,757.175363
59392.000000,678.175362,758.927413
59904.000000,677.060671,752.538787
60416.000000,681.298417,758.886949
60928.000000,680.232787,755.604589
61440.000000,681.638592,758.738061
61952.000000,678.947818,757.714017
62464.000000,681.924330,758.648075
62976.000000,683.824886,759.918307
63488.000000,681.278808,746.334564
64000.000000,679.749387,746.083740
64512.000000,683.061952,760.161205
65024.000000,682.526696,758.660263
