N,Triton,Torch
1024.000000,0.096240,0.041920
1536.000000,0.125184,0.052768
2048.000000,0.104960,0.061952
2560.000000,0.114336,0.071104
3072.000000,0.129824,0.079808
3584.000000,0.128080,0.089952
4096.000000,0.109472,0.102208
4608.000000,0.121728,0.123232
5120.000000,0.139312,0.133328
5632.000000,0.128896,0.142688
6144.000000,0.133280,0.151616
6656.000000,0.138784,0.160800
7168.000000,0.141536,0.169600
7680.000000,0.146432,0.179616
8192.000000,0.149792,0.187552
8704.000000,0.222848,0.209952
9216.000000,0.226400,0.217760
9728.000000,0.230544,0.227072
10240.000000,0.236592,0.235712
10752.000000,0.240608,0.244352
11264.000000,0.244096,0.255136
11776.000000,0.248384,0.263360
12288.000000,0.251200,0.272320
12800.000000,0.257888,0.292128
13312.000000,0.260864,0.300768
13824.000000,0.264416,0.310816
14336.000000,0.270912,0.319008
14848.000000,0.275648,0.329056
15360.000000,0.279568,0.342304
15872.000000,0.284544,0.356992
16384.000000,0.294576,0.357792
16896.000000,0.415136,0.378464
17408.000000,0.423472,0.391008
17920.000000,0.432480,0.397136
18432.000000,0.451008,0.407008
18944.000000,0.443360,0.416064
19456.000000,0.448224,0.427312
19968.000000,0.452000,0.435552
20480.000000,0.463392,0.446560
20992.000000,0.464928,0.455232
21504.000000,0.461744,0.474944
22016.000000,0.466208,0.492352
22528.000000,0.474816,0.494944
23040.000000,0.480992,0.502432
23552.000000,0.492608,0.515264
24064.000000,0.494400,0.523872
24576.000000,0.498048,0.529696
25088.000000,0.509248,0.543776
25600.000000,0.521344,0.562016
26112.000000,0.524256,0.571040
26624.000000,0.533152,0.585792
27136.000000,0.536960,0.593040
27648.000000,0.543584,0.602688
28160.000000,0.547584,0.615168
28672.000000,0.554784,0.625328
29184.000000,0.560544,0.631440
29696.000000,0.560768,0.654016
30208.000000,0.570016,0.663424
30720.000000,0.572000,0.666816
31232.000000,0.576592,0.680160
31744.000000,0.588064,0.705888
32256.000000,0.594112,0.695904
32768.000000,0.599088,0.704608
33280.000000,0.840256,0.719424
33792.000000,0.843200,0.746240
34304.000000,0.860256,0.747872
34816.000000,0.867456,0.760480
35328.000000,0.879424,0.779104
35840.000000,0.884960,0.786800
36352.000000,0.895392,0.799824
36864.000000,0.901136,0.798688
37376.000000,0.914480,0.811808
37888.000000,0.917152,0.821808
38400.000000,0.926064,0.840896
38912.000000,0.939696,0.842912
39424.000000,0.945344,0.854128
39936.000000,0.960544,0.861536
40448.000000,0.968960,0.879200
40960.000000,0.977440,0.889760
41472.000000,0.992512,0.899872
41984.000000,1.003552,0.899744
42496.000000,1.017280,0.924432
43008.000000,1.032800,0.942528
43520.000000,1.041792,0.944704
44032.000000,1.051952,0.961824
44544.000000,1.060704,0.966304
45056.000000,1.071904,0.979168
45568.000000,1.083136,0.991104
46080.000000,1.096400,0.993248
46592.000000,1.105760,1.013952
47104.000000,1.119344,1.027552
47616.000000,1.128864,1.052416
48128.000000,1.139568,1.046144
48640.000000,1.150528,1.052560
49152.000000,1.162176,1.073312
49664.000000,1.182208,1.071168
50176.000000,1.205376,1.089600
50688.000000,1.218640,1.105760
51200.000000,1.228192,1.110544
51712.000000,1.242144,1.125088
52224.000000,1.265648,1.134016
52736.000000,1.271248,1.157920
53248.000000,1.270848,1.147648
53760.000000,1.285056,1.152032
54272.000000,1.304432,1.178400
54784.000000,1.340608,1.182384
55296.000000,1.350000,1.198352
55808.000000,1.347232,1.206016
56320.000000,1.353152,1.218240
56832.000000,1.355264,1.224256
57344.000000,1.375008,1.251712
57856.000000,1.389776,1.243088
58368.000000,1.409600,1.260160
58880.000000,1.425296,1.273760
59392.000000,1.433680,1.282336
59904.000000,1.447168,1.304128
60416.000000,1.454048,1.304480
60928.000000,1.467520,1.320960
61440.000000,1.477376,1.326512
61952.000000,1.492384,1.339584
62464.000000,1.499760,1.349184
62976.000000,1.509520,1.357952
63488.000000,1.526560,1.394144
64000.000000,1.541216,1.405552
64512.000000,1.546912,1.390304
65024.000000,1.561200,1.404288
