N,Triton,Torch
1024.000000,1254.277480,974.512971
1536.000000,1306.365480,1177.293374
2048.000000,1640.964067,1327.311359
2560.000000,1484.394159,1435.618799
3072.000000,1673.259578,1522.617693
3584.000000,1866.742559,1591.507305
4096.000000,1999.191697,1625.699170
4608.000000,1571.816101,1672.073666
5120.000000,1667.582719,1722.365368
5632.000000,1756.141241,1761.505183
6144.000000,1854.792461,1779.257961
6656.000000,1830.221292,1775.858311
7168.000000,1892.736482,1757.670442
7680.000000,1958.247087,1749.181582
8192.000000,2026.233885,1707.778450
8704.000000,1568.619511,1699.636956
9216.000000,1594.118944,1668.526100
9728.000000,1643.807249,1636.784812
10240.000000,1683.648061,1626.203423
10752.000000,1725.172001,1605.899638
11264.000000,1761.505183,1596.226942
11776.000000,1801.946151,1582.081379
12288.000000,1860.827029,1570.900376
12800.000000,1810.386695,1559.267151
13312.000000,1798.349346,1561.095674
13824.000000,1829.384389,1559.006129
14336.000000,1855.886688,1563.372056
14848.000000,1871.535114,1562.305038
15360.000000,1906.501829,1560.071424
15872.000000,1960.073369,1553.817275
