N,Triton,Torch
1024.000000,0.013184,0.017184
1536.000000,0.019200,0.021408
2048.000000,0.020288,0.025280
2560.000000,0.028128,0.029184
3072.000000,0.030176,0.033088
3584.000000,0.031488,0.036928
4096.000000,0.033376,0.041280
4608.000000,0.047872,0.045152
5120.000000,0.050240,0.048672
5632.000000,0.052448,0.052480
6144.000000,0.053984,0.056768
6656.000000,0.059456,0.061376
7168.000000,0.062240,0.066336
7680.000000,0.064544,0.072064
8192.000000,0.066336,0.078112
8704.000000,0.090816,0.083840
9216.000000,0.093984,0.090912
9728.000000,0.096896,0.096544
10240.000000,0.099520,0.103424
10752.000000,0.102368,0.109280
11264.000000,0.104448,0.116448
11776.000000,0.106496,0.122304
12288.000000,0.107968,0.128160
12800.000000,0.116288,0.134336
13312.000000,0.121184,0.139584
13824.000000,0.124064,0.145184
14336.000000,0.126912,0.150592
14848.000000,0.130080,0.155648
15360.000000,0.131872,0.161536
15872.000000,0.130144,0.166400
